target_id,brand,model,colorway,size_us,size_kr,ebay_price_original,currency_original,exchange_rate,ebay_price_krw,price_type,item_url,item_title,item_condition,shipping_price,collected_at,memo
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,280.0,USD,1360,381000,listing_price,https://www.ebay.com/itm/178003898616?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item2971dbf0f8:g:7tYAAeSw33xpwpaI&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYpEkBj284MeINuWMKJZevRh42K8Tj%2FC9F7YQElQxNEF9reK5XLHF0cTXgeDRfcqQLUy33lPknT0gVUezzJDsM%2FSon1H0X4k9pSuQ37HEjFlL1stcyBS505I1jj5ZpQv%2Fx6LO7s3i3ngYs7lCB8esLJrHTT0eSetieT9CNNCstKs7KyO6kgvY42tD822ESwb3W%2FbukBEFsVz8ALFgvF0Jqi7z6q2gvmv%2FhMInj1Af4b06fmGkXK7MNW2zvo3knmKlbk41u7vetuGnlwih1oT%2BF3mwaIKFLDeDYSPv0ZsHVCGAfTzO1s70agHpCV%2F0FtgIk%3D,Nike Air Jordan 1 High OG 2022 Chicago Lost and Found Men's Size 9,Pre-owned - Excellent,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,159.52,USD,1360,217000,listing_price,https://www.ebay.com/itm/358538404245?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item537a8de195:g:0qgAAeSwZAFpvFX9&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYJ8X0s0dRDFe%2FgWCVnn%2FFq%2ByFZP7Dao%2FUQiXCE1DAhgMxtMmiCuzYooPhcTMsU8U9rgLu76i9G%2FFJ4XWLvW%2BGKTHaBjRM8OxYkL90G3tWmfQUZKykeRr8yRstK3vo5VGccw1sB9JSwzmUzhpjF0bTtXcOQMbqyUyq9dUET3bbMhbnlY%2B%2B7fNxWzyRblSE3xXrOV2VU21ufWFrTTxuWPP4H9tM1J3g08xmu6h4OLJebpuKC%2BdjGWMdzHRl6jZGFuWmQyLZov0QDsdSkLHZmma9L%2FoTjgxf0mKBr1xNwsLn6C8xQWMZml43xKnYoxuNaObs%3D,DZ5485-612 Jordan1 Retro High OG Lost and Found,New with box,0.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,280.0,USD,1360,381000,listing_price,https://www.ebay.com/itm/277886777107?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40b357b713:g:fhgAAeSw77xp26rG,"Air Jordan 1 Retro High ""LOST AND FOUND"" 2022 - Size 8.5 - dz5485 612 (15203-18)",New with box,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,252.0,USD,1360,343000,listing_price,https://www.ebay.com/itm/287220900493?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42dfb3228d:g:9kgAAeSwCiJpVXe8,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 10 - dz5485 612 (405-21)",Pre-owned - Excellent,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,496.0,USD,1360,675000,listing_price,https://www.ebay.com/itm/397298071749?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item5c80cf78c5:g:DtYAAeSwtFRpG7Py,Nike Jordan 1 Retro High OG Chicago Lost And Found,New,20.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,302.0,USD,1360,411000,listing_price,https://www.ebay.com/itm/277821311876?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40af70cb84:g:APQAAeSwHtppMJZm,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 9 - dz5485 612 (14308-..",New with box,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,375.0,USD,1360,510000,listing_price,https://www.ebay.com/itm/116985967096?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item1b3ce831f8:g:N7sAAeSwb99pabr7,NEW Nike Air Jordan 1 Retro OG Chicago Lost and Found Size 9.5,New with box,0.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,210.0,USD,1360,286000,listing_price,https://www.ebay.com/itm/389684026074?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item5abafa5ada:g:OYYAAeSw5D1po9jO,Jordan 1 Retro High OG Lost and Found Chicago 2022 - Size 9 - Authentic,Pre-owned - Excellent,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,320.0,USD,1360,435000,listing_price,https://www.ebay.com/itm/287295968655?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42e42c958f:g:SA0AAeSwRZlp7o13&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYNImDzI8MRFJps4bO7imdDVk1bbqQ%2Ff7g6trdQJ5LBXsqe976VTYCHGpvp2EX5ofuketkJKmX2PC0tSGSo7cAaMC30pgp4iMbdt9CQ5w89OY2h33ExVIFDRqQ02Me47bb8RodLNfXVMK135bouINRhyAnboP2%2B8JP91UfQI4n%2F4AmdFCiWiyJi5MPwHzQwqHwsv09KZDO3W%2FATipKpCSBtHSB5oOmQLpppbeaJQHuHGY3zvwp93DuPczSK66ODug9giAPXRDqtyHR5jcNRqztvgjJrdcLPDiqoQIuYYtMLQ%2Fxfkv33W7ealRW8%2F6ZDiNU%3D,New Jordan 1 Retro High OG Chicago Lost and Found DZ5485-612 - Men's Size 9 US,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,339.95,USD,1360,462000,listing_price,https://www.ebay.com/itm/116612739042?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item1b26a92fe2:g:iBQAAeSwMtloLkoJ&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGbOYRs%2Bn%2BieQd07spwLonw%2BZp55fd1uPPlEDDvOTxg4ZmEc7jFoqufWhkcSV1scabFlvr6qukRB3zNn%2BJEj%2FzlemguUF69IR6Ags4aXm97HlfTDPJG2Zs6lFBzp3dm4acZ5umFfYICb9m3JfOKoVEabEpm8A%2FQ0ihj8ZLRovTQhGvFwCAysGCFc55yBBzI7iIqUF74YYQwWW5ThiL%2B6088ynijzWtWIT59Hq7Np4W3u%2BId4pLl8tnveoNvpZHdJqN8khXg%2FvlJDJqraS7aUBfjcllsbWiVlMfJmj6ruhf4s2gr6xyE%2FuNNajaALQPZVNuk%3D,DS New Nike Air Jordan Retro 1 High OG Lost And Found Chicago 2022 Size 9.5 Red,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,247.0,USD,1360,336000,listing_price,https://www.ebay.com/itm/277821311587?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40af70ca63:g:cx4AAeSwQxtpUWMP,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 9 - dz5485 612 (9289-11)",Pre-owned - Excellent,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,369.2,USD,1360,502000,listing_price,https://www.ebay.com/itm/136834294298?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item1fdbf5a21a:g:g1UAAeSw73lp~658,"Air Jordan 1 Retro ""Lost and Found""",New,12.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,150.0,USD,1360,204000,listing_price,https://www.ebay.com/itm/397621698793?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item5c9419a0e9:g:hgIAAeSwtVpplMqM,Nike Air Jordan 1 Retro High OG lost and founds size 8,Pre-owned - Excellent,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,320.0,USD,1360,435000,listing_price,https://www.ebay.com/itm/297852860636?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item455969f8dc:g:PBkAAeSwAiBpQtey,Air Jordan 1 Retro High Chicago Lost and Found Style # DZ5485-612 Size 9,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,265.0,USD,1360,360000,listing_price,https://www.ebay.com/itm/397815557393?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item5c9fa7ad11:g:bbgAAeSwhVVp1eSK,Jordan 1 Retro High OG Chicago Lost and Found,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,265.0,USD,1360,360000,listing_price,https://www.ebay.com/itm/800014924051?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=itemba449af913:g:DNMAAeSwKuRqBNQt,Jordan 1 Retro High OG Chicago Lost and Found DZ5485-612 8.5M/10W Brand New,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
